[7l----system---- ----swap--- ------memory-usage----- ----total-cpu-usage----
     time     | used  free| used  buff  cach  free|usr sys idl wai hiq siq
30-08 09:56:11| 101G  101G|50.2G 11.6M  114M  833M|  6   1  84  10   0   0
30-08 09:56:16| 101G  101G|50.2G 11.6M  114M  809M|  0   0  88  12   0   0
30-08 09:56:21| 101G  101G|50.2G 11.6M  114M  785M|  0   0  88  12   0   0
30-08 09:56:26| 101G  101G|50.2G 11.7M  114M  782M|  0   0  87  12   0   0
30-08 09:56:31| 101G  101G|50.1G 11.7M 97.6M  892M| 37   4  47  12   0   0
30-08 09:56:36| 101G  101G|50.2G 11.7M 99.2M  866M|  0   0  87  12   0   0
30-08 09:56:41| 101G  101G|50.2G 11.7M 99.4M  840M|  0   0  88  12   0   0
30-08 09:56:46| 101G  101G|50.2G 11.7M 99.5M  813M|  0   0  88  12   0   0
30-08 09:56:51| 101G  101G|50.2G 11.7M 99.4M  787M|  0   0  87  12   0   0
30-08 09:56:56| 101G  101G|50.3G 11.7M 99.4M  760M|  0   0  88  12   0   0
30-08 09:57:01| 101G  101G|50.3G 11.7M 99.4M  751M|  0   0  88  12   0   0
30-08 09:57:06| 101G  101G|50.4G 4592k 66.1M  681M| 14   6  54  27   0   0
30-08 09:57:11| 101G  101G|50.1G 4600k 65.8M  991M| 25   1  65   9   0   0
30-08 09:57:16| 101G  101G|50.1G 4608k 65.9M  966M|  0   0  87  12   0   0
30-08 09:57:21| 101G  101G|50.1G 4608k 66.2M  941M|  0   0  88  12   0   0
30-08 09:57:26| 101G  101G|50.1G 4616k 65.9M  914M|  0   0  88  12   0   0
30-08 09:57:31| 101G  101G|50.2G 4624k 65.9M  888M|  0   0  88  12   0   0
30-08 09:57:36| 101G  101G|50.2G 4632k 66.2M  867M|  0   0  88  12   0   0
30-08 09:57:41| 101G  101G|50.2G 4640k 66.2M  864M|  0   0  88  12   0   0
30-08 09:57:46| 101G  101G|50.1G 4648k 58.8M  933M| 38   2  53   7   0   0
30-08 09:57:51| 101G  101G|50.2G 4656k 58.8M  908M|  0   0  88  12   0   0
30-08 09:57:56| 101G  101G|50.2G 4664k 59.1M  881M|  0   0  88  12   0   0
30-08 09:58:01| 101G  101G|50.2G 4672k 59.0M  856M|  0   0  88  12   0   0
30-08 09:58:06| 101G  101G|50.2G 4680k 59.1M  831M|  0   0  88  12   0   0
30-08 09:58:11| 101G  101G|50.3G 4688k 58.9M  806M|  0   0  87  12   0   0
30-08 09:58:16| 101G  101G|50.3G 4696k 58.9M  798M|  0   0  88  12   0   0
30-08 09:58:21| 101G  101G|50.2G 3624k 50.5M  878M| 40   3  50   6   0   0
30-08 09:58:26| 101G  101G|50.2G 3632k 50.4M  855M|  0   0  88  12   0   0
30-08 09:58:31| 101G  101G|50.2G 3640k 50.3M  828M|  0   0  87  12   0   0
30-08 09:58:36| 101G  101G|50.3G 3648k 51.6M  800M|  0   0  88  12   0   0
30-08 09:58:41| 101G  101G|50.3G 3656k 51.8M  772M|  0   0  88  12   0   0
30-08 09:58:46| 101G  101G|50.3G 3664k 51.8M  747M|  0   0  88  12   0   0
30-08 09:58:51| 101G  101G|50.3G 3672k 51.7M  734M|  0   0  87  12   0   0
30-08 09:58:56| 101G  101G|50.5G 3892k 20.1M  598M| 20   4  60  16   0   0
30-08 09:59:01| 101G  101G|50.2G 3900k 20.5M  908M| 16   0  73  10   0   0
30-08 09:59:06| 101G  101G|50.2G 3908k 20.4M  883M|  0   0  88  12   0   0
30-08 09:59:11| 101G  101G|50.2G 3908k 20.5M  856M|  0   0  88  12   0   0
30-08 09:59:16| 101G  101G|50.3G 3916k 20.2M  830M|  0   0  88  12   0   0
30-08 09:59:21| 101G  101G|50.3G 3924k 20.4M  805M|  0   0  88  12   0   0
30-08 09:59:26| 101G  101G|50.3G 3932k 20.2M  784M|  0   0  88  12   0   0
30-08 09:59:31| 101G  101G|50.3G 3940k 20.4M  782M|  0   0  87  12   0   0
30-08 09:59:36| 101G  101G|50.1G 3204k 15.1M 1031M| 37  10  31  22   0   0
30-08 09:59:41| 101G  101G|50.1G 3212k 15.0M 1002M|  0   0  88  12   0   0
30-08 09:59:46| 101G  101G|50.1G 3220k 15.0M  977M|  0   0  88  12   0   0
30-08 09:59:51| 101G  101G|50.2G 3228k 15.0M  952M|  0   0  88  12   0   0
30-08 09:59:56| 101G  101G|50.2G 3236k 15.2M  924M|  0   0  88  12   0   0
30-08 10:00:01| 101G  101G|50.2G 3244k 15.3M  898M|  0   0  88  12   0   0
30-08 10:00:06| 101G  101G|50.2G 3252k 15.1M  890M|  0   0  88  12   0   0
30-08 10:00:11| 101G  101G|50.5G 3260k 15.2M  630M| 28   3  61   8   0   0
30-08 10:00:16| 101G  101G|50.2G 3268k 15.0M  933M| 12   0  77  11   0   0
30-08 10:00:21| 101G  101G|50.2G 3276k 15.0M  906M|  0   0  88  12   0   0
30-08 10:00:26| 101G  101G|50.2G 3284k 15.1M  879M|  0   0  88  12   0   0
30-08 10:00:31| 101G  101G|50.3G 3292k 15.2M  852M|  0   0  88  12   0   0
30-08 10:00:36| 101G  101G|50.3G 3300k 15.2M  827M|  0   0  88  12   0   0
30-08 10:00:41| 101G  101G|50.3G 3308k 15.1M  810M|  0   0  87  12   0   0
30-08 10:00:46| 101G  101G|50.3G 3316k 15.3M  807M|  0   0  88  12   0   0
30-08 10:00:51| 101G  101G|50.1G 3308k 13.8M 1059M| 40   4  37  20   0   0
30-08 10:00:56| 101G  101G|50.1G 3316k 13.8M 1034M|  0   0  88  12   0   0
30-08 10:01:01| 101G  101G|50.1G 3324k 14.0M 1009M|  0   0  88  12   0   0
30-08 10:01:06| 101G  101G|50.1G 3332k 14.0M  983M|  0   0  88  12   0   0
30-08 10:01:11| 101G  101G|50.2G 3332k 14.1M  956M|  0   0  88  12   0   0
30-08 10:01:16| 101G  101G|50.2G 3340k 13.7M  930M|  0   0  88  12   0   0
30-08 10:01:21| 101G  101G|50.2G 3348k 13.9M  923M|  0   0  87  12   0   0
30-08 10:01:26| 101G  101G|50.4G 3356k 13.9M  715M| 45   3  46   6   0   0
30-08 10:01:31| 101G  101G|50.1G 3364k 14.0M  964M|  0   0  87  12   0   0
30-08 10:01:36| 101G  101G|50.2G 3372k 13.8M  939M|  0   0  87  12   0   0
30-08 10:01:41| 101G  101G|50.2G 3380k 13.7M  911M|  0   0  88  12   0   0
30-08 10:01:46| 101G  101G|50.2G 3388k 13.9M  886M|  0   0  88  12   0   0
30-08 10:01:51| 101G  101G|50.2G 3396k 13.7M  862M|  0   0  88  12   0   0
30-08 10:01:56| 101G  101G|50.3G 3404k 14.0M  844M|  0   0  88  12   0   0
30-08 10:02:01| 101G  101G|50.7G 3412k 13.9M  394M|  8   1  81  11   0   0
30-08 10:02:06| 101G  101G|50.2G 3420k 13.9M  901M| 36   2  55   7   0   0
30-08 10:02:11| 101G  101G|50.2G 3428k 14.0M  877M|  0   0  88  12   0   0
30-08 10:02:16| 101G  101G|50.3G 3436k 14.0M  852M|  0   0  88  12   0   0
30-08 10:02:21| 101G  101G|50.3G 3444k 14.1M  825M|  0   0  88  12   0   0
30-08 10:02:26| 101G  101G|50.3G 3452k 14.1M  799M|  0   0  88  12   0   0
30-08 10:02:31| 101G  101G|50.3G 3460k 14.1M  775M|  0   0  88  12   0   0
30-08 10:02:36| 101G  101G|50.3G 3468k 13.9M  771M|  0   0  88  12   0   0
30-08 10:02:41| 101G  101G|50.2G 3472k 13.3M  942M| 39   3  41  16   0   0
30-08 10:02:46| 101G  101G|50.2G 3480k 13.5M  917M|  0   0  88  12   0   0
30-08 10:02:51| 101G  101G|50.2G 3488k 13.5M  893M|  0   0  88  12   0   0
30-08 10:02:56| 101G  101G|50.2G 3496k 13.5M  868M|  0   0  87  12   0   0
30-08 10:03:01| 101G  101G|50.3G 3504k 13.6M  840M|  0   0  88  12   0   0
30-08 10:03:06| 101G  101G|50.3G 3512k 13.4M  814M|  0   0  88  12   0   0
30-08 10:03:11| 101G  101G|50.3G 4668k 18.7M  794M|  0   0  88  12   0   0
30-08 10:03:16| 101G  101G|50.6G 4620k 18.0M  524M|  5   2  65  28   0   0
30-08 10:03:21| 101G  101G|50.0G 4624k 18.5M 1073M| 34   3  56   8   0   0
30-08 10:03:26| 101G  101G|50.1G 4632k 18.8M 1045M|  0   0  88  12   0   0
30-08 10:03:31| 101G  101G|50.1G 4632k 18.8M 1019M|  0   0  88  12   0   0
30-08 10:03:36| 101G  101G|50.1G 4640k 21.0M  989M|  0   0  87  13   0   0
30-08 10:03:41| 101G  101G|50.1G 4648k 21.6M  964M|  0   0  88  12   0   0
30-08 10:03:46| 101G  101G|50.2G 4656k 21.6M  942M|  0   0  88  12   0   0
30-08 10:03:51| 101G  101G|50.2G 4664k 21.5M  939M|  0   0  88  12   0   0
30-08 10:03:56| 101G  101G|50.1G 4672k 21.3M  988M| 41   2  50   6   0   0
30-08 10:04:01| 101G  101G|50.1G 4680k 21.5M  959M|  0   0  88  12   0   0
30-08 10:04:06| 101G  101G|50.2G 4688k 21.6M  932M|  0   0  87  12   0   0
30-08 10:04:11| 101G  101G|50.2G 5096k 21.6M  904M|  0   0  88  12   0   0
30-08 10:04:16| 101G  101G|50.2G 5104k 21.7M  879M|  0   0  88  12   0   0
30-08 10:04:21| 101G  101G|50.2G 5112k 21.5M  854M|  0   0  88  12   0   0
30-08 10:04:26| 101G  101G|50.2G 5120k 21.6M  851M|  0   0  87  12   0   0
30-08 10:04:31| 101G  101G|50.2G 5128k 21.4M  903M| 37   2  54   7   0   0
30-08 10:04:36| 101G  101G|50.2G 5136k 21.8M  876M|  0   0  88  12   0   0
30-08 10:04:41| 101G  101G|50.2G 5144k 21.3M  850M|  0   0  87  12   0   0
30-08 10:04:46| 101G  101G|50.3G 5152k 21.4M  826M|  0   0  88  12   0   0
